Date,USD_rate,Inflation_rate,gold_price_USD,gold_price_NPR,interest_rate,festivals/weeding,nepse_index
12/6/2024,135.5,0.0605,2632.91,146815,0.065,1,2735.67
12/5/2024,135.57,0.0605,2632.05,146842,0.065,1,2764.29
12/4/2024,135.58,0.0605,2649.79,147843,0.065,1,2795.78
12/3/2024,135.5,0.0605,2643.44,147402,0.065,1,2793.03
12/2/2024,135.51,0.0605,2638.93,147161,0.065,1,2773.47
11/29/2024,135.17,0.056,2653.55,147605,0.065,1,2764.85
11/28/2024,135.18,0.056,2640.96,146916,0.065,1,2774.14
11/27/2024,135.12,0.056,2635.51,146547,0.065,1,2755.98
11/26/2024,134.92,0.056,2631.89,146129,0.065,1,2719.84
11/25/2024,134.86,0.056,2625.26,145697,0.065,0,2694.67
11/22/2024,135.11,0.056,2712.55,150820,0.065,0,2698.76
11/21/2024,135.19,0.056,2669.69,148525,0.065,0,2722.59
11/20/2024,135.06,0.056,2650.05,147290,0.065,0,2713.93
11/19/2024,135.06,0.056,2631.68,146269,0.065,0,2759.54
11/18/2024,135.02,0.056,2612.2,145144,0.065,0,2788.12
11/15/2024,135.03,0.056,2561.24,142323,0.065,0,2762.51
11/14/2024,135.03,0.056,2566.19,142598,0.065,0,2757.38
11/13/2024,135.0,0.056,2573.78,142988,0.065,0,2788.35
11/12/2024,135.03,0.056,2597.27,144325,0.065,0,2782.43
11/11/2024,135.03,0.056,2620.2,145599,0.065,0,2738.12
11/8/2024,135.0,0.056,2683.77,149098,0.065,0,2684.81
11/7/2024,135.0,0.056,2706.99,150388,0.065,0,2696.85
11/6/2024,134.85,0.056,2659.24,147571,0.065,0,2755.98
11/5/2024,134.57,0.056,2743.59,151936,0.065,0,2755.98
11/4/2024,134.58,0.056,2736.39,151549,0.065,0,2755.98
11/1/2024,134.52,0.056,2735.16,151413,0.065,2,2755.98
10/31/2024,134.52,0.0482,2743.8,151891,0.065,2,2684.66
10/30/2024,134.53,0.0482,2786.19,154249,0.065,2,2705.24
10/29/2024,134.52,0.0482,2775.13,153626,0.065,0,2692.11
10/28/2024,134.5,0.0482,2741.98,151768,0.065,0,2647.23
10/25/2024,134.55,0.0482,2747.69,152141,0.065,0,2632.94
10/24/2024,134.52,0.0482,2735.7,151443,0.065,0,2650.18
10/23/2024,134.53,0.0482,2717.54,150449,0.065,0,2684.66
10/22/2024,134.52,0.0482,2748.38,152145,0.065,0,2669.38
10/21/2024,134.52,0.0482,2719.65,150554,0.065,0,2700.82
10/18/2024,134.5,0.0482,2720.25,150565,0.065,0,2748.78
10/17/2024,134.51,0.0482,2692.55,149043,0.065,0,2780.97
10/16/2024,134.39,0.0482,2673.24,147842,0.065,0,2748.8
10/15/2024,134.46,0.0482,2660.99,147241,0.065,0,2700.23
10/14/2024,134.5,0.0482,2651.05,146735,0.065,0,2684.66
10/11/2024,134.5,0.0482,2656.0,147009,0.065,3,2684.66
10/10/2024,134.35,0.0482,2629.48,145379,0.065,3,2684.66
10/9/2024,134.34,0.0482,2607.77,144168,0.065,3,2672.65
10/8/2024,134.34,0.0482,2621.94,144951,0.065,3,2699.55
10/7/2024,134.36,0.0482,2643.58,146169,0.065,3,2707.16
10/4/2024,134.36,0.0482,2652.25,146649,0.065,3,2653.63
10/3/2024,134.35,0.0482,2655.9,146840,0.065,3,2643.76
10/2/2024,134.334,0.0482,2657.75,146924,0.065,0,2623.56
10/1/2024,134.11,0.0482,2662.82,146959,0.065,0,2508.86
9/30/2024,134.07,0.0386,2634.49,145352,0.065,0,2494.57
9/27/2024,133.92,0.0386,2657.97,146484,0.065,0,2688.26
9/26/2024,133.83,0.0386,2670.2,147059,0.065,0,2541.69
9/25/2024,133.75,0.0386,2656.82,146234,0.065,0,2519.97
9/24/2024,133.87,0.0386,2656.7,146359,0.065,0,2547.47
9/23/2024,133.68,0.0386,2628.4,144594,0.065,0,2608.43
9/20/2024,133.7,0.0386,2621.96,144262,0.065,0,2643.51
9/19/2024,133.89,0.0386,2586.48,142512,0.065,0,2688.26
9/18/2024,134.016,0.0386,2558.8,141119,0.065,0,2606.04
9/17/2024,134.0,0.0386,2569.52,141694,0.065,0,2688.26
9/16/2024,134.22,0.0386,2582.58,142648,0.065,0,2637.53
9/13/2024,134.22,0.0386,2576.5,142312,0.065,0,2734.58
9/12/2024,134.34,0.0386,2558.75,141458,0.065,0,2688.52
9/11/2024,134.36,0.0386,2511.44,138863,0.065,0,2651.19
9/10/2024,134.36,0.0386,2516.12,139122,0.065,0,2688.26
9/9/2024,134.33,0.0386,2505.25,138490,0.065,0,2706.54
9/6/2024,134.32,0.0386,2497.03,138025,0.065,0,2760.45
9/5/2024,134.37,0.0386,2516.32,139143,0.065,0,2758.92
9/4/2024,134.34,0.0386,2494.19,137889,0.065,0,2860.39
9/3/2024,134.35,0.0386,2492.76,137820,0.065,0,2860.43
9/2/2024,134.27,0.0386,2499.29,138099,0.065,0,2823.7
8/30/2024,134.18,0.0409,2503.03,138213,0.065,0,2781.75
8/29/2024,134.19,0.0409,2521.18,139225,0.065,0,2800.28
8/28/2024,134.32,0.0409,2502.25,138314,0.065,0,2860.89
8/27/2024,134.28,0.0409,2524.57,139506,0.065,0,2902.75
8/26/2024,134.24,0.0409,2516.89,139040,0.065,0,2990.04
8/23/2024,134.22,0.0409,2512.07,138753,0.065,0,2881.855
8/22/2024,134.32,0.0409,2483.29,137266,0.065,0,3018.93
8/21/2024,134.28,0.0409,2511.95,138808,0.065,0,3002.74
8/20/2024,134.07,0.0409,2513.74,138690,0.065,0,3048.15
8/19/2024,134.19,0.0409,2503.92,138272,0.065,0,2881.855
8/16/2024,134.3,0.0409,2507.28,138571,0.065,0,2881.855
8/15/2024,134.783,0.0409,2456.1,136231,0.065,0,3036.64
8/14/2024,134.32,0.0409,2447.64,135295,0.065,0,2959.19
8/13/2024,134.35,0.0409,2465.03,136287,0.065,0,2971.69
8/12/2024,134.36,0.0409,2472.25,136696,0.065,0,2937.4
8/9/2024,134.33,0.0409,2430.93,134381,0.065,0,2860.96
8/8/2024,134.34,0.0409,2426.75,134160,0.065,0,2811.15
8/7/2024,134.33,0.0409,2381.53,131651,0.065,0,2759.67
8/6/2024,134.32,0.0409,2389.37,132074,0.065,0,2815.94
8/5/2024,134.15,0.0409,2407.65,132916,0.065,0,2806.69
8/2/2024,134.0,0.0409,2443.29,134733,0.065,0,2881.855
8/1/2024,133.95,0.0409,2445.42,134800,0.065,0,2805.57
7/31/2024,133.95,0.0357,2448.1,134948,0.065,0,2791.02
7/30/2024,133.96,0.0357,2408.43,132771,0.065,0,2709.89
7/29/2024,133.96,0.0357,2383.54,131399,0.065,0,2737.68
